shipname,filename,description,image
drone11,11.json,The Veniri drone. Equipped with a Small Pulse Cannon.,drone1.png
drone21,21.json,"The Bushrak's first drone, fit with a Small Laser.",drone2.png
drone22,22.json,The Bushrak's second drone. Carries a Small Statis Field.,drone2.png
drone31,31.json,The Korerans' torpedo drone. Carries a Small Proton Torpedo.,drone3.png
drone41,41.json,"The Taraniak drone. Equipped with a Small Lightning Cannon. When this drone dies, it releases a damaging cloud.",drone4.png
drone51,51.json,The Sayjix drone. Carries a Small Plasma Cannon.,drone5.png
drone81,81.json,"The Unknown's drone. Carries a Small Repair Ray, which can damage enemies and heal the user's ship.",drone8.png
drone91,91.json,The Empire drone. Carries a Rocket Launcher and a Repair Ray M2. AI exclusive.,f9s3.png
dronea1,a1.json,The Daazen drone. Carries an Energy Siphon.,dronea.png
colossus,Boss0.json,"The Capital Ship of Zumbalari. Has many weapon slots of different types, including M and C slots. Four of its five C slots have built in Targeting Units, and the ship also has 50% kinetic resistance and 33% heat and energy resistance. This ship is not recommended for player use, by me, so please don't use it.",flagship0.png
leviathan,Boss1.json,"The Capital Ship of Veniri. The ship suffers from poor firepower, but does have a decent number of green and blue slots. It is most useful as a drone carrier, or an interceptor with Hovertanks - but most other capital ships can easily overpower it.",flagship1.png
megalodon,Boss2.json,"The Bushrak Capital Ship. Packs many M slots, many of which are also MT or LM. Can be used as a very effective cloak and dagger ship or a missile sniper. For a long time, this ship also had the greatest amount of red slots of any ship.",flagship2.png
thor,Boss3.json,"The Korerans' Capital Ship. The Thor is the only Korerans ship that cannot mount torpedoes without Glaive sattelites, but is instead best known as a powerful drone carrier. The ship itself is slow, with only 18 engine slots.",flagship3.png
kraken,Boss4.json,"The Taraniak Capital Ship. As expected from Taraniak the ship is living - regenerating 1% of its HP per second, and it can wield both L and S weapons. The S slots in the middle hold a Heavy Antimatter Bomb M2 by default, and the SL slots at the front have a 180° built in Targeting Unit.",flagship4.png
oracle,Boss5.json,"The Sayjix Capital Ship. Being a Sayjix ship, it features a 360° turret - with CL slots. Its CL slots can hold many weapons, including Heavy Ion Cannons, Holy Cannons, Death Rays and Tachyon Beams. It is most well known as a sentry ship.",flagship5.png
overlord,Boss6.json,"The Jurgans' Capital Ship. As expected from the Jurgans the ship is living, regenerating 1% of its HP per second. The ship resembles a Megalodon, but with some sort of infection. It has less weaponry than the Megalodon, but what it loses in firepower it makes up for in versatility. It can mount Lasers, Torpedoes and Cannons. For example, when expanded it can mount four Heavy Ion Cannons and a Heavy Laser.",flagship6.png
zeus,Boss7.json,"The Neganari Capital Ship. Features a 180° TU L slot in its middle, capable of holding a Heavy Laser Beam (or when expanded, a Death Ray). It also has two 2x3 M slots. The ship also features a large amount of engine slots and green slots, allowing it to become a very fast ship.",flagship7.png
doomstar,Boss8.json,"The Unknown Capital Ship. Has a 3x5 L slot which is locked with a Death Ray, also with a 30° Targeting Unit mount. The ship can also mount twenty four drones.",flagship8.png
dreadnought,Boss9.json,"The Empire Capital Ship. Has a very large number of red slots with a total of seven barrels. All slots have built in 30° Targeting Unit mounts. The side slots can be expanded to fit up to six Holy Cannons, for player use.",flagship9.png
odin,boss13.json,"The Syndicate Capital Ship. Has two 2x4 M slots and two 2x4 C slots. The ship can be used as a powerful missile build, or make use of its C slots to wield dual Heavy Ion Cannons.",flagship13.png
harbour,Boss15.json,"The Scavenger Capital Ship. A massive flagship with two 3x4 L slots. While these slots cannot be expanded to fit Death Rays, the ship can make use of Repair Rays. The Harbour can be used as a very powerful carrier.",flagships.png
tartarus,Bossa.json,"The Daazen Capital Ship. A very modular flagship with many green-blue slots. The flagship is greatly let down by its locked Heavy Vampiric Ray, though it can be upgraded in Event Horizon: Frontier.",flagshipa.png
chariot,Bossn.json,One of the Free Stars Capital Ships. The Chariot is a fast flagship built to hold the Holy Cannon with its omnidirectional 3x3 C slot turret. Newly crafted Chariots come with three Firework Cannons.,flagshipn.png
interceptor,f0s1.json,A Frigate of the Zumbalari faction. A well-rounded fighter that works well with Pulse Cannons or Multi-cannons.,f0s1.png
interceptor mk2,f0s1_mk2.json,The Mk2 version of the Interceptor. Expanded weapon slots and more space for modules make it a worthy successor. Can be useful early on with Railguns or Multi-cannons.,f0s1_2.png
shadow,f0s2.json,"The Destroyer of the Zumbalari faction. Fits a Missile Launcher, or when expanded can fit a Heavy Missile Launcher M2. All enemy versions of this ship have high heat resistance, and have a Cloaking Device which can be very annoying to lower level players.",f0s2.png
helios,f0s3.json,"The Cruiser of the Zumbalari faction. Often overlooked and forgotten, the Helios can fit two Laser Cannons or a Laser Beam, making it quite useful early on. Enemy versions of the ship are very easily dealt with, dealing low damage and charging for the player.",f0s3.png
