shipname,filename,description
drone11,11.json,The Veniri drone. Equipped with a Small Pulse Cannon.
drone21,21.json,"The Bushrak's first drone, fit with a Small Laser."
drone22,22.json,The Bushrak's second drone. Carries a Small Statis Field.
drone31,31.json,The Korerans' torpedo drone. Carries a Small Proton Torpedo.
drone41,41.json,"The Taraniak drone. Equipped with a Small Lightning Cannon. When this drone dies, it releases a damaging cloud."
drone51,51.json,The Sayjix drone. Carries a Small Plasma Cannon.
drone81,81.json,"The Unknown's drone. Carries a Small Repair Ray, which can damage enemies and heal the user's ship."
drone91,91.json,The Scavenger drone. Has 112 hitpoints and a Pulse Cannon M2.
dronea1,a1.json,The Daazen drone. Carries an Energy Siphon.
colossus,Boss0.json,"The Capital Ship of Zumbalari. Has many weapon slots of different types, including M and C slots. Four of its five C slots have built in Targeting Units, and the ship also has 50% kinetic resistance and 33% heat and energy resistance."
leviathan,Boss1.json,"The Capital Ship of Veniri. The ship suffers from poor firepower, but does have a decent number of green and blue slots. It is most useful as a drone carrier, or an interceptor with Hovertanks - but most other capital ships can easily overpower it."
megalodon,Boss2.json,"The Bushrak Capital Ship. Packs many M slots, many of which are also MT or LM. Can be used as a very effective cloak and dagger ship or a missile sniper. For a long time, this ship also had the greatest amount of red slots of any ship."
thor,Boss3.json,"The Korerans' Capital Ship. The Thor is the only Korerans ship that cannot mount torpedoes without Glaive sattelites, but is instead best known as a powerful drone carrier. The ship itself is slow, with only 18 engine slots."
kraken,Boss4.json,"The Taraniak Capital Ship. As expected from Taraniak the ship is living - regenerating 1% of its HP per second, and it can wield both L and S weapons. The S slots in the middle hold a Heavy Antimatter Bomb M2 by default, and the SL slots at the front have a 180° built in Targeting Unit."
oracle,Boss5.json,"The Sayjix Capital Ship. Being a Sayjix ship, it features a 360° turret - with CL slots. Its CL slots can hold many weapons, including Heavy Ion Cannons, Holy Cannons, Death Rays and Tachyon Beams. It is most well known as a sentry ship."
overlord,Boss6.json,"The Jurgans' Capital Ship. As expected from the Jurgans the ship is living, regenerating 1% of its HP per second. The ship resembles a Megalodon, but with some sort of infection. It has less weaponry than the Megalodon, but what it loses in firepower it makes up for in versatility. It can mount Lasers, Torpedoes and Cannons. For example, when expanded it can mount four Heavy Ion Cannons and a Heavy Laser."
zeus,Boss7.json,"The Neganari Capital Ship. Features a 180° TU L slot in its middle, capable of holding a Heavy Laser Beam (or when expanded, a Death Ray). It also has two 2x3 M slots. The ship also features a large amount of engine slots and green slots, allowing it to become a very fast ship."
doomstar,Boss8.json,"The Unknown Capital Ship. Has a 3x5 L slot which is locked with a Death Ray, also with a 30° Targeting Unit mount. The ship can also mount twenty four drones."
dreadnought,Boss9.json,
